strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
0.0,1.0,0.327,0.349,0.6519696139086851,58.8,30.0167,1.0,0.3994048085206359,38.73873873873874
0.0,3.0,0.309,0.777,0.3974469418122014,63.401,44.1022,1.0,0.3132586733495184,21.1822660098522
0.0,3.0,0.503,0.426,0.30640613986999765,83.43,18.6815,1.0,0.2741013391808286,10.543130990415335
1.0,1.0,0.5479999999999999,0.867,1.1962565588534733,15.335,46.3249,0.0,0.08223040175424857,93.12602291325695
2.0,1.0,0.23,0.434,0.8487352181063512,76.107,54.0,1.0,0.7204949487038923,15.109573241061113
1.0,1.0,0.415,0.659,0.5511394784243089,62.85,54.0,1.0,0.4189834756049808,23.978685612788638
0.0,3.0,0.223,0.578,1.748374970631999,57.327,44.1022,1.0,0.3269637403085598,81.2989921612542
0.0,2.0,0.287,0.547,0.7371368157255854,16.704000000000008,33.1361,1.0,0.5873600125303471,20.31872509960158
0.0,3.0,0.223,0.536,0.7312632156002818,49.457,33.1361,0.0,0.4659722766074085,36.27844712182062
1.0,1.0,0.21600000000000005,0.334,0.6020440128436055,50.69399999999999,60.5392,0.0,0.5403712115279192,10.243902439024383
3.0,0.0,0.409,0.53,0.645247419010324,86.09700000000002,18.2483,1.0,0.0177999288002848,97.24137931034485
2.0,3.0,0.818,0.888,0.4138483446066216,58.032,21.4709,0.0,0.044499822000712015,89.24731182795698
1.0,3.0,0.75,0.54,0.3248487006051976,27.92099999999999,21.1896,0.0,0.0177999288002848,94.52054794520548
3.0,2.0,0.654,0.518,0.3515485938056249,22.46199999999999,10.2956,1.0,0.1601993592025632,54.43037974683546
